[07:06:39 INFO]: [CustomEnderChest] [Backup] Starting backup process...
[07:06:39 INFO]: [CustomEnderChest] [Backup] H2 database backed up successfully using SQL BACKUP command
[07:06:39 INFO]: [CustomEnderChest] [Backup] Backup completed successfully in 19ms
[07:06:39 INFO]: [CustomEnderChest] [Backup] Backup saved to: backup_2026-05-24_07-06-39.zip (Size: 151 KB)
[07:07:14 INFO]: TheTopGesus issued server command: /customec reload
[07:07:14 INFO]: [CustomEnderChest] Loaded language file: lang_en.yml
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:15 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:16 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:16 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:16 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:16 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:16 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
[07:07:16 INFO]: [CustomEnderChest] [DEBUG] Prevented cache eviction of online player: TheTopGesus
